ннн;AA;Density;Pmax (%);? (h);d (-);RMSE; N;M
Swelling;Ala;5000;"95.98[92.44;99.51] a";"6.93[6.59;7.26] a";"3.83[3.16;4.50] a";0.82;373;10
Swelling;Ala;10000;"90.81[86.43;95.18] a";"5.28[4.84;5.72] b";"3.42[2.49;4.35] a";1.17;979;37
Swelling;Ala;20000;"84.14[78.58;89.69] a";"5.77[5.17;6.37] b";"3.36[2.24;4.48] a";1.35;1112;66
Swelling;Ala;40000;"71.91[61.67;82.14] b";"6.31[5.06;7.57] b";"2.55[1.31;3.79] a";1.58;1301;89
Swelling;Arg;5000;"25.06[-0.83;50.96] a";"15.00[1.47;28.53] a";"2.66[-0.16;5.48] a";0.78;626;94
Swelling;Arg;10000;"16.61[5.63;27.60] a";"15.00[7.02;22.98] a";"2.94[0.80;5.08] a";0.37;1026;19
Swelling;Arg;20000;"13.69[4.32;23.05] a";"15.00[-0.44;30.44] a";"1.41[0.67;2.15] a";0.16;1372;14
Swelling;Arg;40000;"11.25[-1.93;24.43] a";"15.00[-12.95;42.95] a";"1.32[0.16;2.48] a";0.21;1408;105
Swelling;Pro;5000;"94.95[91.22;98.69] a";"4.55[4.19;4.91] a";"3.70[2.69;4.71] a";1.18;526;7
Swelling;Pro;10000;"95.82[91.38;100.25] a";"3.59[3.18;4.00] b";"2.88[1.99;3.77] a";1.32;857;17
Swelling;Pro;20000;"90.33[87.04;93.63] a";"3.68[3.35;4.01] b";"3.34[2.42;4.26] a";1.09;1142;30
Swelling;Pro;40000;"82.59[77.95;87.24] a";"4.15[3.64;4.66] b";"3.34[2.06;4.62] a";1.44;1306;38
Germ tube formation;Ala;5000;"91.20[88.12;94.28] a";"11.37[11.11;11.63] a";"8.94[7.30;10.58] a";0.77;373;10
Germ tube formation;Ala;10000;"79.89[75.76;84.02] b";"12.48[12.10;12.87] b";"8.75[6.66;10.84] a";0.88;979;37
Germ tube formation;Ala;20000;"67.95[64.63;71.27] c";"13.72[13.36;14.08] c";"6.90[5.87;7.93] a";0.45;1112;66
Germ tube formation;Ala;40000;"49.57[45.72;53.41] d";"15.00[14.39;15.61] d";"5.54[4.71;6.37] a";0.29;1301;89
Germ tube formation;Arg;5000;"16.46[7.61;25.30] a";"15.00[10.12;19.88] a";"4.35[0.79;7.91] a";0.48;626;94
Germ tube formation;Arg;10000;"4.00[2.20;5.81] b";"15.00[11.82;18.18] a";"6.83[-0.64;14.3] a";0.18;1026;19
Germ tube formation;Arg;20000;"3.79[-1.35;8.94]b,a";"15.00[-11.23;41.23] a";"1.67[-0.16;3.50] a";0.10;1372;14
Germ tube formation;Arg;40000;"4.64[1.17;8.10]b,a";"15.00[3.17;26.83] a";"2.11[0.69;3.53] a";0.08;1408;105
Germ tube formation;Pro;5000;"108.03[93.02;123.04] a";"13.61[12.14;15.09] a";"3.27[2.61;3.93] a";0.77;526;7
Germ tube formation;Pro;10000;"97.39[83.92;110.87] a";"15.00[13.77;16.23] a";"4.51[3.52;5.50] a";0.77;857;17
Germ tube formation;Pro;20000;"75.50[65.95;85.05] a";"15.00[13.93;16.07] a";"4.82[3.79;5.85] a";0.60;1142;30
Germ tube formation;Pro;40000;"47.32[42.93;51.71] b";"15.00[14.31;15.69] a";"6.13[4.90;7.36] a";0.38;1306;38
